Date,Open,High,Low,Close,Volume,Stock Trading
"2019-10-25","68000","68430","67880","68000","470200","68000"
"2019-10-28","68140","68330","67760","68190","286600","68190"
"2019-10-29","68250","68710","67700","67710","368000","67710"
"2019-10-30","67360","67360","66170","66190","720900","66190"
"2019-10-31","66990","67780","66790","67050","624400","67050"
"2019-11-01","66780","67670","66570","67670","395500","67670"
"2019-11-05","68900","68960","68060","68450","537400","68450"
"2019-11-06","68330","69140","67940","68660","401100","68660"
"2019-11-07","68770","69110","68110","69110","379800","69110"
"2019-11-08","69890","69960","67910","68170","815900","68170"
"2019-11-11","67900","68090","67460","67580","310600","67580"
"2019-11-12","67900","68870","67800","68760","448400","68760"
"2019-11-13","68390","68620","67280","67500","509200","67500"
"2019-11-14","67690","68030","66950","67440","434300","67440"
"2019-11-15","67330","67860","67130","67470","433800","67470"
"2019-11-18","67590","67910","66960","67860","382300","67860"
"2019-11-19","67740","67740","66920","66920","413700","66920"
"2019-11-20","66670","66980","65960","66090","464100","66090"
"2019-11-21","66100","66700","65510","66230","523700","66230"
"2019-11-22","66280","66540","66030","66320","290200","66320"
"2019-11-25","66720","67100","66340","66530","272800","66530"
"2019-11-26","66850","67350","66590","66830","441800","66830"
"2019-11-27","67010","67120","66750","66770","295400","66770"
"2019-11-28","66760","66870","66270","66660","291500","66660"
"2019-11-29","67070","67170","66580","66690","372600","66690"
"2019-12-02","66930","67890","66770","67800","414500","67800"
"2019-12-03","67320","67660","67040","67200","446800","67200"
"2019-12-04","65500","65640","63700","63700","1335100","63700"
"2019-12-05","63900","64660","63600","63710","658200","63710"
"2019-12-06","63950","64220","63510","63920","413300","63920"
"2019-12-09","64540","64640","64090","64300","417700","64300"
"2019-12-10","63910","64280","63710","64040","372900","64040"
"2019-12-11","63970","64480","63720","64480","381900","64480"
"2019-12-12","64490","64640","64130","64450","351400","64450"
"2019-12-13","65700","67300","65570","67280","1479100","67280"
"2019-12-16","66820","67360","66720","66990","435100","66990"
"2019-12-17","67480","67870","67280","67640","435100","67640"
"2019-12-18","67230","67720","66980","67020","365700","67020"
"2019-12-19","66960","66980","66280","66420","301300","66420"
"2019-12-20","66550","66970","66170","66650","323000","66650"
"2019-12-23","66800","66910","66400","66590","214200","66590"
"2019-12-24","66690","66830","66490","66750","201800","66750"
"2019-12-25","66760","67230","66620","66860","249700","66860"
"2019-12-26","66800","67270","66650","67220","241000","67220"
"2019-12-27","66940","67310","65820","65870","509300","65870"
"2019-12-30","65770","66100","65000","65000","521500","65000"
"2020-01-06","63790","63800","62870","63050","753300","63050"
"2020-01-07","63320","63490","62450","63250","726700","63250"
"2020-01-08","62460","62690","61610","62080","834200","62080"
"2020-01-09","63000","63840","62420","63760","910400","63760"
"2020-01-10","63000","63310","61700","61990","1676500","61990"
"2020-01-14","62670","64440","62550","63340","971000","63340"
"2020-01-15","62900","64340","62890","64320","693000","64320"
"2020-01-16","64590","65290","64580","65210","617000","65210"
"2020-01-17","65660","66000","65220","65230","628000","65230"
"2020-01-20","65100","65170","64080","64200","355100","64200"
"2020-01-21","64060","64310","63230","63330","606600","63330"
"2020-01-22","62780","63580","62490","63180","503400","63180"
"2020-01-23","62380","62790","62180","62180","693700","62180"
"2020-01-24","62000","62210","61780","61970","427500","61970"
"2020-01-27","60200","60360","58370","58460","1022000","58460"
"2020-01-28","57800","58970","57750","58690","687500","58690"
"2020-01-29","59000","59550","58470","59410","654000","59410"
"2020-01-30","59020","59250","58380","58640","611400","58640"
"2020-01-31","58880","59760","58710","59340","610500","59340"
"2020-02-03","57360","58000","56780","57600","917000","57600"
"2020-02-04","57000","57950","56910","57760","670700","57760"
"2020-02-05","58210","58400","57550","57600","531600","57600"
"2020-02-06","58600","59900","58330","59500","871600","59500"
"2020-02-07","59350","59430","58500","58520","521600","58520"
"2020-02-10","57920","58860","57810","58660","485600","58660"
"2020-02-12","58810","59230","58490","59180","466000","59180"
"2020-02-13","59800","60650","59380","60560","791500","60560"
"2020-02-14","60160","60250","59350","59470","578500","59470"
"2020-02-17","58900","58900","57930","58570","504600","58570"
"2020-02-18","58600","59520","58570","58900","518700","58900"
"2020-02-19","58840","60050","58830","59990","603500","59990"
"2020-02-20","60800","61180","59400","59640","686700","59640"
"2020-02-21","58800","59530","58510","58860","486100","58860"
"2020-02-25","55860","56970","55460","56420","925300","56420"
"2020-02-26","55670","56390","55560","56330","968500","56330"
"2020-02-27","55570","55960","54500","55000","1104200","55000"
"2020-02-28","53070","53840","52170","53440","1445500","53440"
"2020-03-02","53000","55150","52800","54270","1271000","54270"
"2020-03-03","55700","55700","53490","53520","959600","53520"
"2020-03-04","53850","54990","53710","54140","1065700","54140"
"2020-03-05","54790","55270","54240","55040","1079300","55040"
"2020-03-06","54500","54820","54010","54770","1071700","54770"
"2020-03-09","53030","53530","51310","53120","1676500","53120"
"2020-03-10","52350","53090","50750","52750","1438000","52750"
"2020-03-11","52750","53390","51450","51750","1357300","51750"
"2020-03-12","50750","51100","47870","48850","2399200","48850"
"2020-03-13","44290","48400","44120","46230","3843600","46230"
"2020-03-16","46370","48160","44890","46000","1874300","46000"
"2020-03-17","44980","47480","43700","43780","1964900","43780"
"2020-03-18","43400","44000","40820","40900","2212200","40900"
"2020-03-19","41460","42100","39910","40190","2508500","40190"
"2020-03-23","40750","41900","40010","40750","1729200","40750"
"2020-03-24","42710","46730","42210","46370","2148700","46370"
"2020-03-25","48350","50630","47850","50440","1908100","50440"
"2020-03-26","47780","47800","43650","43800","1819900","43800"
"2020-03-27","46280","46500","43000","44430","2070600","44430"
"2020-03-30","42240","43650","42010","43340","1389100","43340"
"2020-03-31","44000","45180","43230","44190","1541800","44190"
"2020-04-02","41700","42070","40010","40940","1678300","40940"
"2018-01-04","45580","46630","45510","46440","997900","46440"
"2018-01-05","46730","47100","46170","46840","731100","46840"
"2018-01-09","47870","47960","47270","47390","734500","47390"
"2018-01-10","47420","47490","46800","46800","464700","46800"
"2018-01-11","46990","47220","46540","46800","525900","46800"
"2018-01-12","48000","50150","47790","49610","2041000","49610"
"2018-01-15","50150","50260","49340","49540","809500","49540"
"2018-01-16","49580","51110","49400","50940","831600","50940"
"2018-01-17","50060","50560","49690","50380","1085800","50380"
"2018-01-18","51200","51580","50310","50550","1268400","50550"
"2018-01-19","50720","50850","50240","50300","608800","50300"
"2018-01-22","50000","50120","49570","49920","465100","49920"
"2018-01-23","50350","50990","49840","50850","736900","50850"
"2018-01-24","50840","51120","50280","50570","527400","50570"
"2018-01-25","49950","50130","49260","49320","677500","49320"
"2018-01-26","49780","50070","49270","49510","686400","49510"
"2018-01-29","49720","50070","49160","49440","586600","49440"
"2018-01-30","49100","49320","48210","48330","741700","48330"
"2018-01-31","48330","49330","48100","48690","796800","48690"
"2018-02-01","49020","49620","48710","49590","508300","49590"
"2018-02-02","48960","49080","48420","48620","646600","48620"
"2018-02-05","46620","47290","46350","46540","1194300","46540"
"2018-02-06","44270","45160","42580","44000","2175200","44000"
"2018-02-07","45350","45510","43240","43380","1485700","43380"
"2018-02-08","43370","43610","42330","43070","1202500","43070"
"2018-02-09","41220","41920","41050","41480","1665700","41480"
"2018-02-13","42000","42140","41010","41020","1009500","41020"
"2018-02-14","41120","41400","40450","40980","1052200","40980"
"2018-02-15","41500","42190","41300","41840","971700","41840"
"2018-02-16","41840","42830","41520","42600","883900","42600"
"2018-02-19","43000","43780","42840","43670","776200","43670"
"2018-02-20","43350","43400","42610","42710","634900","42710"
"2018-02-21","42560","43600","42260","42940","884300","42940"
"2018-02-22","42240","42530","41960","42330","770000","42330"
"2018-02-23","42440","42720","42080","42680","572900","42680"
"2018-02-26","43210","43520","42980","43330","569700","43330"
"2018-02-27","43920","44220","43570","43670","795000","43670"
"2018-02-28","43340","43450","42570","42570","737300","42570"
"2018-03-01","42090","42470","41880","42080","780900","42080"
"2018-03-02","40600","41370","40420","40980","1286200","40980"
"2018-03-05","41350","41960","41170","41870","764100","41870"
"2018-03-06","42830","43220","42550","43100","764900","43100"
"2018-03-07","42690","43090","42220","42470","882000","42470"
"2018-03-08","43040","43220","41980","42170","806100","42170"
"2018-03-09","42540","43640","42240","42400","1587800","42400"
"2018-03-12","43640","43960","42610","43010","778600","43010"
"2018-03-13","42820","43190","42360","43170","523200","43170"
"2018-03-14","42600","42750","41950","42060","639500","42060"
"2018-03-15","42000","42280","41590","42190","518700","42190"
"2018-03-16","42480","42480","41950","42030","496400","42030"
"2018-03-19","41390","41940","41340","41750","622500","41750"
"2018-03-20","41660","41960","41300","41790","611200","41790"
"2018-03-22","41600","42320","41580","42320","642300","42320"
"2018-03-23","40920","41180","39340","39660","1649100","39660"
"2018-03-26","39390","40190","38900","40170","898600","40170"
"2018-03-27","40550","41080","40330","41040","945200","41040"
"2018-03-28","40480","41000","40170","40900","936200","40900"
"2018-03-29","41600","42440","41490","41940","850900","41940"
"2018-03-30","42290","43310","42230","43240","872700","43240"
"2018-04-02","43110","43840","42880","43430","641700","43430"
"2018-04-03","42580","44070","42570","43890","966100","43890"
"2018-04-04","45100","45330","44530","45200","1156400","45200"
"2018-04-05","45880","46560","45560","46500","947100","46500"
"2018-04-06","46400","46770","46020","46270","1018900","46270"
"2018-04-09","46340","46820","46180","46620","651900","46620"
"2018-04-10","46120","46980","45950","46550","723400","46550"
"2018-04-11","46600","46750","45510","45950","699000","45950"
"2018-04-12","46270","46900","46180","46900","594700","46900"
"2018-04-13","48500","48540","46720","46870","1348600","46870"
"2018-04-16","46820","46870","45750","45790","781500","45790"
"2018-04-17","46030","46680","45950","46440","715000","46440"
"2018-04-18","46670","47910","46670","47420","828900","47420"
"2018-04-19","47530","47760","47000","47100","682000","47100"
"2018-04-20","47330","47720","47120","47510","559100","47510"
"2018-04-23","47280","47550","47040","47100","357900","47100"
"2018-04-24","47570","47800","47060","47060","583200","47060"
"2018-04-25","46510","47530","46510","47060","595800","47060"
"2018-04-26","47270","47620","47140","47290","819000","47290"
"2018-04-27","47810","48420","47610","48210","652300","48210"
"2018-05-01","48530","49040","48360","49040","599600","49040"
"2018-05-02","49480","49750","48970","49220","579400","49220"
"2018-05-07","49500","49520","48600","48850","494000","48850"
"2018-05-08","48500","48920","47940","48730","537300","48730"
